Date,BTC_Open,BTC_High,BTC_Low,BTC_Close,BTC_Volume,ETH_Open,ETH_High,ETH_Low,ETH_Close,ETH_Volume,SPY_Open,SPY_High,SPY_Low,SPY_Close,SPY_Volume,GLD_Open,GLD_High,GLD_Low,GLD_Close,GLD_Volume,Silver_Open,Silver_High,Silver_Low,Silver_Close,Silver_Volume,Nifty50_Open,Nifty50_High,Nifty50_Low,Nifty50_Close,Nifty50_Volume,Sensex_Open,Sensex_High,Sensex_Low,Sensex_Close,Sensex_Volume
2023-03-10,20367.001953125,20370.595703125,19628.25390625,20187.244140625,39578257695,1438.7601318359375,1438.7601318359375,1378.525390625,1429.1580810546875,12665194936.0,374.8215147441384,376.9017923479486,368.42735335856526,369.95159912109375,189253000.0,171.92999267578125,173.8800048828125,171.9199981689453,173.8699951171875,13803400.0,20.375,20.375,20.375,20.375,48.0,17443.80078125,17451.5,17324.349609375,17412.900390625,235900.0,59259.828125,59262.46875,58884.98046875,59135.12890625,6300.0
2023-03-11,20187.876953125,20792.525390625,20068.66015625,20632.41015625,30180288176,1429.100830078125,1484.136962890625,1428.72314453125,1482.61669921875,14917080154.0,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-12,20628.029296875,22185.03125,20448.806640625,22163.94921875,29279035521,1482.431884765625,1607.152587890625,1461.6109619140625,1590.29296875,11480965122.0,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-13,22156.40625,24550.837890625,21918.19921875,24197.533203125,49466362688,1590.8311767578125,1699.9117431640625,1572.07470703125,1680.3089599609375,15711468959.0,366.02116036617707,374.2463714168759,364.9091258748091,369.4243469238281,157790000.0,176.66000366210938,178.02000427246094,176.3000030517578,177.86000061035156,20554400.0,20.690000534057617,21.792999267578125,20.690000534057617,21.792999267578125,15.0,17421.900390625,17529.900390625,17113.44921875,17154.30078125,254900.0,59033.76953125,59510.921875,58094.55078125,58237.8515625,8000.0
2023-03-14,24201.765625,26514.716796875,24081.18359375,24746.07421875,54622230164,1680.2952880859375,1779.9178466796875,1665.90234375,1703.507080078125,16159781303.0,374.35173718346283,377.17975816787913,371.0443925918974,375.5308837890625,149752400.0,177.35000610351562,177.58999633789062,176.2100067138672,176.8300018310547,10019000.0,21.510000228881836,21.929000854492188,21.5,21.929000854492188,60.0,17160.55078125,17224.650390625,16987.099609375,17043.30078125,290600.0,58168.75,58490.98046875,57721.16015625,57900.19140625,10200.0
2023-03-15,24770.92578125,25240.615234375,23964.91015625,24375.9609375,43655701450,1705.18994140625,1721.0792236328125,1616.63037109375,1656.1805419921875,12715339905.0,369.93236081528505,373.3834671327069,367.84248780500195,373.1821594238281,172996900.0,178.86000061035156,180.1300048828125,177.49000549316406,178.2100067138672,14546100.0,21.600000381469727,22.079999923706055,21.600000381469727,21.77400016784668,15.0,17166.44921875,17211.349609375,16938.900390625,16972.150390625,248200.0,58268.5390625,58473.62890625,57455.671875,57555.8984375,7600.0
2023-03-16,24373.45703125,25190.326171875,24225.111328125,25052.7890625,33866061747,1656.33203125,1693.1392822265625,1639.26171875,1677.2154541015625,9364980166.0,370.8239247170232,380.074864540284,370.3158428605711,379.729736328125,143254200.0,179.50999450683594,179.64999389648438,177.8699951171875,178.57000732421875,10762200.0,21.854999542236328,21.860000610351562,21.579999923706055,21.58799934387207,53.0,16994.650390625,17062.44921875,16850.150390625,16985.599609375,349800.0,57510.80078125,57887.4609375,57158.69140625,57634.83984375,7900.0
2023-03-17,25055.123046875,27787.8125,24955.169921875,27423.9296875,50730261335,1677.2967529296875,1799.343994140625,1667.1318359375,1792.485107421875,12467445117.0,378.3979622867853,379.5334763060183,373.9039803951704,375.2897033691406,140553400.0,181.02000427246094,184.80999755859375,180.77000427246094,183.77000427246094,24156300.0,21.75,22.35099983215332,21.75,22.35099983215332,58.0,17111.80078125,17145.80078125,16958.150390625,17100.05078125,408100.0,58038.171875,58178.94140625,57503.8984375,57989.8984375,6300.0
2023-03-18,27448.1171875,27725.953125,26636.26171875,26965.87890625,35723036817,1793.5924072265625,1840.3575439453125,1751.2628173828125,1761.65966796875,10317822213.0,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-19,26969.50390625,28440.560546875,26907.716796875,28038.67578125,37769448859,1762.9632568359375,1843.8441162109375,1762.9632568359375,1785.5765380859375,9170565472.0,,,,,,,,,,,,,,,,,,,,,,,,,
